,inducted,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,seasons
207,0,1531,4855.0,676.0,1361.0,226.0,56.0,62.0,435.0,217.0,99.0,505.0,507.0,49.0,26.0,57.0,36.0,59.0,15
208,1,2295,7971.0,1025.0,2092.0,371.0,31.0,324.0,1225.0,39.0,42.0,848.0,997.0,106.0,68.0,33.0,99.0,180.0,19
209,0,1994,6847.0,1118.0,1826.0,332.0,39.0,340.0,1180.0,77.0,61.0,1262.0,1441.0,127.0,24.0,9.0,83.0,174.0,18
210,0,1536,5392.0,730.0,1618.0,267.0,29.0,215.0,898.0,97.0,47.0,609.0,862.0,115.0,32.0,9.0,73.0,122.0,16
211,0,2202,8018.0,1239.0,2210.0,316.0,65.0,54.0,687.0,271.0,94.0,1243.0,675.0,37.0,38.0,99.0,64.0,218.0,19
212,0,1862,7158.0,1007.0,2074.0,332.0,40.0,151.0,874.0,224.0,104.0,553.0,719.0,45.0,64.0,53.0,77.0,166.0,15
213,0,2344,7853.0,1188.0,2099.0,360.0,28.0,275.0,1073.0,50.0,44.0,1197.0,1127.0,55.0,129.0,60.0,70.0,197.0,20
214,1,2707,10349.0,1583.0,3154.0,665.0,137.0,317.0,1595.0,201.0,97.0,1096.0,908.0,229.0,33.0,26.0,120.0,235.0,21
215,1,2856,11008.0,1632.0,3142.0,583.0,126.0,251.0,1406.0,271.0,105.0,966.0,1350.0,95.0,48.0,104.0,123.0,217.0,20
216,1,2499,8756.0,1276.0,2356.0,421.0,47.0,376.0,1330.0,128.0,58.0,849.0,1386.0,105.0,143.0,26.0,79.0,204.0,24
217,0,2180,7960.0,1197.0,2111.0,350.0,39.0,398.0,1266.0,161.0,68.0,986.0,1748.0,159.0,28.0,6.0,60.0,209.0,19
218,0,1587,6123.0,814.0,1702.0,308.0,34.0,265.0,1002.0,67.0,36.0,331.0,771.0,53.0,49.0,0.0,83.0,165.0,12
219,0,2154,7731.0,1169.0,2207.0,281.0,147.0,41.0,585.0,668.0,134.0,425.0,1144.0,27.0,62.0,64.0,35.0,90.0,19
220,0,1747,6192.0,903.0,1749.0,312.0,18.0,293.0,1086.0,37.0,26.0,838.0,798.0,110.0,26.0,15.0,66.0,165.0,14
221,0,1538,5130.0,710.0,1324.0,286.0,17.0,197.0,708.0,50.0,38.0,465.0,1105.0,19.0,22.0,19.0,41.0,83.0,16
222,0,1769,6940.0,913.0,1949.0,278.0,47.0,54.0,550.0,444.0,178.0,556.0,584.0,47.0,24.0,75.0,37.0,146.0,14
223,0,1613,5170.0,909.0,1488.0,273.0,58.0,98.0,533.0,370.0,140.0,623.0,849.0,19.0,92.0,21.0,46.0,69.0,19
224,0,1645,5974.0,656.0,1608.0,290.0,31.0,149.0,824.0,64.0,56.0,387.0,1005.0,62.0,38.0,12.0,65.0,163.0,15
225,1,2973,11003.0,1669.0,3110.0,540.0,88.0,465.0,1833.0,223.0,96.0,1216.0,1686.0,172.0,25.0,19.0,95.0,319.0,23
226,1,1783,7244.0,1071.0,2304.0,414.0,57.0,207.0,1085.0,134.0,76.0,450.0,965.0,85.0,56.0,23.0,58.0,188.0,12
227,0,1785,7003.0,1007.0,2153.0,442.0,20.0,222.0,1099.0,14.0,9.0,588.0,444.0,136.0,21.0,13.0,96.0,191.0,14
228,0,2390,8570.0,1386.0,2369.0,420.0,65.0,244.0,1084.0,143.0,75.0,1197.0,1099.0,79.0,20.0,89.0,91.0,143.0,19
229,0,1635,5798.0,985.0,1553.0,260.0,54.0,255.0,870.0,284.0,78.0,718.0,1285.0,72.0,61.0,23.0,56.0,72.0,17
230,0,1988,7067.0,856.0,1782.0,305.0,27.0,324.0,1070.0,28.0,37.0,612.0,1527.0,62.0,37.0,23.0,58.0,197.0,20
231,0,1200,3897.0,582.0,1170.0,199.0,34.0,100.0,592.0,58.0,31.0,649.0,701.0,83.0,2.0,12.0,43.0,92.0,11
232,0,1531,4940.0,760.0,1229.0,247.0,22.0,228.0,760.0,231.0,77.0,692.0,1053.0,105.0,17.0,9.0,57.0,61.0,14
233,0,1658,5711.0,835.0,1562.0,293.0,91.0,164.0,792.0,245.0,59.0,667.0,1063.0,55.0,27.0,12.0,61.0,94.0,14
234,1,2573,9396.0,1257.0,2460.0,402.0,69.0,28.0,793.0,580.0,148.0,1072.0,589.0,79.0,33.0,214.0,63.0,167.0,19
235,1,2627,9927.0,1373.0,2774.0,503.0,98.0,438.0,1591.0,314.0,109.0,589.0,1509.0,143.0,111.0,24.0,118.0,217.0,21
