31	-2424
231	375
631	-152
831	-1014
1031	-18874
1231	-366
1431	-29604
1831	-5884
2031	-3335
2231	-1987
2431	-5429
2631	302
2831	-1512
3031	151
3231	-11219
3431	-94
3631	-5668
3831	-1116
4031	192
4231	-12894
4431	-6304
4631	-68
4831	12
5031	-833
5231	-15457
32	-3801
232	-1076
432	356
632	-266
832	120
1232	-4354
1432	-8537
1632	-551
1832	-9194
2032	-4655
2232	15
2432	-1271
2632	-2240
2832	170
3032	876
3232	1581
3432	-973
3632	-251
3832	-660
4032	-2013
4232	-1469
4432	-436
4632	423
4832	-2018
5032	-835
5232	-2438
33	-808
233	-9091
433	-1509
633	403
833	78
1033	854
1233	-32128
1433	-3945
1633	-4551
1833	186
2033	-523
2233	-1911
2433	-194
2633	-279
2833	-1950
3033	-5660
3233	-4717
3433	-347
3633	-216
3833	68
4033	-7631
4233	-3203
4433	-2499
4633	-141
4833	-293
5033	124
34	-2726
234	-430
434	-3216
634	-2252
834	-213
1034	-992
1234	-4450
1434	369
1634	-599
1834	-787
2034	-3243
2234	-280
2434	221
2634	-3617
2834	-256
3034	-3747
3234	-4353
3434	184
3634	-434
3834	268
4034	-1963
4234	-7476
4434	-4099
4634	221
4834	740
5034	278
5234	-8906
35	169
235	-2486
635	317
835	-1360
1035	-767
1235	281
1435	-2947
1635	156
1835	67
2035	-959
2235	-178
2435	177
2635	-4069
2835	-3426
3035	-1243
3235	-1135
3435	-2907
3635	359
3835	-174
4035	-548
4235	342
4435	-232
4635	865
4835	-845
5035	-770
5235	307
36	-2564
236	-599
436	-225
636	-1317
836	-1661
1036	-2441
1236	-754
1436	-9123
1636	217
1836	-2282
2036	-882
2236	-89
2436	-1115
2636	-105
2836	-354
3036	-2898
3236	-1664
3436	-9263
3636	-1437
3836	-622
4036	-14594
4236	-953
4436	-237
4636	381
4836	385
5036	-1479
5236	-5296
37	-78
237	-3778
437	997
637	-3113
837	691
1037	-329
1237	-1602
1437	-1640
1637	-7548
1837	-2222
2037	-5510
2237	244
2637	88
2837	95
3037	-21869
3237	-1948
3437	-6681
3637	-688
3837	140
4037	-5397
4237	408
4437	-2523
4637	199
4837	520
5037	-2520
5237	-25422
38	-1224
238	-11022
438	-5235
638	-35559
838	-3853
1038	-1225
1238	-1609
1438	-3329
1638	-872
1838	-3514
2038	-363
2238	-469
2438	-2007
2638	-945
2838	-5140
3038	-1782
3238	-2424
3438	-30960
3638	-1991
4038	-1705
4238	-4839
4438	-267
4838	-1078
5038	-5829
5238	-597
39	-3889
239	-12021
439	-4637
639	-3000
839	493
1039	452
1239	-186
1439	-650
1639	-2431
1839	-2617
2039	-551
2239	33
2439	-968
2639	-3689
2839	329
3039	-4381
3239	492
3439	-42
3639	-958
3839	137
4239	-396
4439	-1536
4639	441
4839	-8036
5039	-207
5239	544
40	-1629
240	-293
440	-1450
640	-101
840	1090
1040	290
1240	-46
1440	-11
1640	-1767
1840	-1009
2040	-5595
2240	-303
2440	-2852
2640	-2923
2840	82
3040	1046
3240	947
3440	400
3640	-3275
3840	602
4240	-7337
4440	-108
4640	-308
4840	-1283
5040	-1967
5240	248
41	-905
241	-944
441	-2984
641	225
841	18
1041	-1140
1241	-409
1441	-5559
1641	-196
1841	-2344
2041	-10912
2241	-1632
2441	-59
2641	-10717
2841	-641
3041	-3049
3241	-72
3441	-3829
3641	-645
3841	349
4041	-4620
4241	-5853
4441	-2914
4641	689
4841	-9198
5041	-664
5241	-29755
42	-143
242	-35487
442	-7629
642	93
842	735
1042	475
1242	-1244
1442	340
1642	-49148
1842	-2336
2042	-1183
2242	-1146
2442	-2744
2642	-2145
2842	139
3042	-5016
3242	-1526
3442	115
3642	-499
3842	-3003
4042	909
